GENESIS-Tabelle: 12613-0013
Gestorbene: Bundesländer, Monate, Geschlecht;;;;
Statistik der Sterbefälle;;;;
Gestorbene (Anzahl);;;;
;;Berlin;Berlin;Berlin
;;männlich;weiblich;Insgesamt
2006;Oktober;1089;1336;2425
2006;November;1193;1378;2571
2006;Dezember;1157;1429;2586
2007;Januar;1157;1506;2663
2007;Februar;1118;1356;2474
2007;März;1326;1578;2904
2007;April;1211;1469;2680
2007;Mai;1173;1258;2431
2007;Juni;1102;1364;2466
2007;Juli;1216;1314;2530
2007;August;1139;1332;2471
2007;September;1111;1277;2388
2007;Oktober;1215;1331;2546
2007;November;1228;1383;2611
2007;Dezember;1253;1563;2816
2008;Januar;1386;1673;3059
2008;Februar;1212;1434;2646
2008;März;1302;1516;2818
2008;April;1216;1442;2658
2008;Mai;1218;1415;2633
2008;Juni;1134;1342;2476
2008;Juli;1125;1354;2479
2008;August;1158;1407;2565
2008;September;1101;1336;2437
2008;Oktober;1173;1409;2582
2008;November;1209;1436;2645
2008;Dezember;1308;1605;2913
2009;Januar;1443;1943;3386
2009;Februar;1224;1561;2785
2009;März;1319;1436;2755
2009;April;1191;1407;2598
2009;Mai;1153;1333;2486
2009;Juni;1054;1259;2313
2009;Juli;1119;1279;2398
2009;August;1123;1259;2382
2009;September;1106;1274;2380
2009;Oktober;1244;1427;2671
2009;November;1306;1386;2692
2009;Dezember;1303;1564;2867
2010;Januar;1331;1551;2882
2010;Februar;1227;1411;2638
2010;März;1267;1551;2818
2010;April;1223;1322;2545
2010;Mai;1251;1397;2648
2010;Juni;1233;1348;2581
2010;Juli;1367;1672;3039
2010;August;1187;1365;2552
2010;September;1249;1326;2575
2010;Oktober;1208;1406;2614
2010;November;1189;1311;2500
2010;Dezember;1388;1454;2842
2011;Januar;1357;1459;2816
2011;Februar;1215;1337;2552
2011;März;1368;1477;2845
2011;April;1181;1347;2528
2011;Mai;1290;1354;2644
2011;Juni;1159;1189;2348
2011;Juli;1185;1279;2464
2011;August;1168;1265;2433
2011;September;1203;1260;2463
2011;Oktober;1259;1479;2738
2011;November;1267;1416;2683
2011;Dezember;1363;1503;2866
2012;Januar;1309;1536;2845
2012;Februar;1316;1591;2907
2012;März;1299;1527;2826
2012;April;1326;1342;2668
2012;Mai;1326;1431;2757
2012;Juni;1161;1279;2440
2012;Juli;1245;1332;2577
2012;August;1177;1281;2458
2012;September;1221;1290;2511
2012;Oktober;1304;1429;2733
2012;November;1232;1444;2676
2012;Dezember;1309;1511;2820
2013;Januar;1452;1637;3089
2013;Februar;1401;1552;2953
2013;März;1451;1610;3061
2013;April;1344;1505;2849
2013;Mai;1243;1337;2580
2013;Juni;1281;1346;2627
2013;Juli;1244;1346;2590
2013;August;1327;1298;2625
2013;September;1238;1251;2489
2013;Oktober;1266;1363;2629
2013;November;1221;1297;2518
2013;Dezember;1352;1430;2782
2014;Januar;1296;1338;2634
2014;Februar;1344;1349;2693
2014;März;1359;1467;2826
2014;April;1300;1367;2667
2014;Mai;1244;1323;2567
2014;Juni;1266;1277;2543
2014;Juli;1339;1426;2765
2014;August;1281;1297;2578
2014;September;1283;1255;2538
2014;Oktober;1322;1356;2678
2014;November;1349;1349;2698
2014;Dezember;1507;1620;3127
2015;Januar;1529;1618;3147
2015;Februar;1503;1608;3111
2015;März;1539;1632;3171
2015;April;1441;1452;2893
2015;Mai;1361;1349;2710
2015;Juni;1335;1321;2656
2015;Juli;1405;1444;2849
2015;August;1375;1459;2834
2015;September;1222;1341;2563
2015;Oktober;1444;1370;2814
2015;November;1377;1354;2731
2015;Dezember;1386;1413;2799
2016;Januar;1529;1558;3087
2016;Februar;1479;1505;2984
2016;März;1574;1600;3174
2016;April;1409;1391;2800
2016;Mai;1360;1332;2692
2016;Juni;1237;1320;2557
2016;Juli;1299;1304;2603
2016;August;1273;1366;2639
2016;September;1300;1314;2614
2016;Oktober;1459;1432;2891
2016;November;1445;1428;2873
2016;Dezember;1544;1592;3136
2017;Januar;1665;1883;3548
2017;Februar;1639;1755;3394
2017;März;1480;1576;3056
2017;April;1388;1352;2740
2017;Mai;1373;1430;2803
2017;Juni;1261;1270;2531
2017;Juli;1289;1248;2537
2017;August;1317;1265;2582
2017;September;1238;1386;2624
2017;Oktober;1433;1438;2871
2017;November;1338;1342;2680
2017;Dezember;1470;1501;2971
2018;Januar;1570;1612;3182
2018;Februar;1544;1652;3196
2018;März;1870;2021;3891
2018;April;1499;1541;3040
2018;Mai;1426;1411;2837
2018;Juni;1301;1261;2562
2018;Juli;1375;1356;2731
2018;August;1555;1556;3111
2018;September;1300;1368;2668
2018;Oktober;1409;1381;2790
2018;November;1432;1462;2894
2018;Dezember;1504;1494;2998
2019;Januar;1566;1538;3104
2019;Februar;1551;1594;3145
2019;März;1577;1585;3162
2019;April;1443;1395;2838
2019;Mai;1423;1439;2862
2019;Juni;1408;1389;2797
2019;Juli;1347;1393;2740
2019;August;1386;1398;2784
2019;September;1359;1323;2682
2019;Oktober;1389;1361;2750
2019;November;1447;1375;2822
2019;Dezember;1492;1561;3053
2020;Januar;1591;1596;3187
2020;Februar;1510;1466;2976
2020;März;1538;1566;3104
2020;April;1561;1487;3048
2020;Mai;1456;1480;2936
2020;Juni;1407;1336;2743
2020;Juli;1458;1371;2829
2020;August;1483;1542;3025
2020;September;1387;1391;2778
2020;Oktober;1626;1503;3129
2020;November;1774;1691;3465
2020;Dezember;2253;2169;4422
2021;Januar;2175;1965;4140
2021;Februar;1571;1495;3066
2021;März;1641;1449;3090
2021;April;1560;1480;3040
2021;Mai;1499;1425;2924
2021;Juni;1486;1434;2920
2021;Juli;1484;1404;2888
2021;August;1406;1391;2797
2021;September;1447;1391;2838
2021;Oktober;1616;1562;3178
2021;November;1638;1551;3189
2021;Dezember;1861;1775;3636
2022;Januar;1782;1656;3438
2022;Februar;1650;1643;3293
2022;März;1683;1717;3400
2022;April;1578;1561;3139
2022;Mai;1508;1547;3055
2022;Juni;1562;1476;3038
2022;Juli;1596;1591;3187
2022;August;1695;1585;3280
2022;September;1444;1502;2946
2022;Oktober;1739;1694;3433
2022;November;1680;1549;3229
2022;Dezember;2084;2050;4134
2023;Januar;1439;1526;2965
2023;Februar;1689;1682;3371
2023;März;1667;1703;3370
2023;April;1576;1557;3133
2023;Mai;1685;1544;3229
2023;Juni;1562;1470;3032
2023;Juli;1527;1521;3048
2023;August;...;...;...
2023;September;...;...;...
2023;Oktober;...;...;...
2023;November;...;...;...
2023;Dezember;...;...;...
__________
"Ohne Totgeborene, nachträglich beurkundete Kriegssterbefälle
und gerichtliche Todeserklärungen."
© Statistisches Bundesamt (Destatis), 2023
Stand: 31.10.2023 / 10:44:26
