_id,year,month,region,total deaths
655df55223fa90604159a51f,1989,01,Paris,1513
655df55223fa90604159a520,1984,11,Paris,1421
655df55223fa90604159a521,1977,01,Paris,1483
655df55223fa90604159a522,2018,04,Paris,6
655df55223fa90604159a523,1975,09,Paris,1253
655df55223fa90604159a524,1985,00,Paris,1
655df55223fa90604159a525,1981,02,Paris,1458
655df55223fa90604159a526,1984,12,Paris,1502
655df55223fa90604159a527,1989,06,Paris,1206
655df55223fa90604159a528,2022,04,Paris,4382
655df55223fa90604159a529,1978,02,Paris,1521
655df55223fa90604159a52a,1986,12,Paris,1496
655df55223fa90604159a52b,1978,05,Paris,1383
655df55223fa90604159a52c,1981,07,Paris,1303
655df55223fa90604159a52d,1977,10,Paris,1334
655df55223fa90604159a52e,1977,06,Paris,1247
655df55223fa90604159a52f,1972,04,Paris,1423
655df55223fa90604159a530,2018,05,Paris,10
655df55223fa90604159a531,1977,12,Paris,1291
655df55223fa90604159a532,1986,11,Paris,1339
655df55223fa90604159a533,1985,03,Paris,1531
655df55223fa90604159a534,1985,10,Paris,1415
655df55223fa90604159a535,1979,10,Paris,1368
655df55223fa90604159a536,1971,06,Paris,948
655df55223fa90604159a537,1989,11,Paris,1355
655df55223fa90604159a538,1983,09,Paris,1246
655df55223fa90604159a539,2020,11,Paris,3389
655df55223fa90604159a53a,1971,05,Paris,522
655df55223fa90604159a53b,1976,03,Paris,1622
655df55223fa90604159a53c,1982,02,Paris,1352
655df55223fa90604159a53d,1982,09,Paris,1248
655df55223fa90604159a53e,1989,12,Paris,1681
655df55223fa90604159a53f,1984,06,Paris,1250
655df55223fa90604159a540,2022,07,Paris,4329
655df55223fa90604159a541,1978,06,Paris,1210
655df55223fa90604159a542,2020,12,Paris,3362
655df55223fa90604159a543,1970,06,Paris,246
655df55223fa90604159a544,1983,07,Paris,1338
655df55223fa90604159a545,2012,05,Paris,3
655df55223fa90604159a546,2023,08,Paris,3820
655df55223fa90604159a547,1983,01,Paris,1580
655df55223fa90604159a548,1972,03,Paris,1463
655df55223fa90604159a549,2023,07,Paris,3757
655df55223fa90604159a54a,1986,06,Paris,1362
655df55223fa90604159a54b,2019,04,Paris,4363
655df55223fa90604159a54c,2016,11,Paris,4
655df55223fa90604159a54d,1989,02,Paris,1234
655df55223fa90604159a54e,1973,01,Paris,1660
655df55223fa90604159a54f,1973,06,Paris,1213
655df55223fa90604159a550,1976,08,Paris,1116
655df55223fa90604159a551,1971,12,Paris,1696
655df55223fa90604159a552,1947,04,Paris,3
655df55223fa90604159a553,2021,12,Paris,4935
655df55223fa90604159a554,2019,12,Paris,3970
655df55223fa90604159a555,2018,02,Paris,6
655df55223fa90604159a556,2023,06,Paris,2913
655df55223fa90604159a557,1976,01,Paris,1520
655df55223fa90604159a558,1973,08,Paris,1216
655df55223fa90604159a559,2017,05,Paris,1
655df55223fa90604159a55a,1982,08,Paris,1119
655df55223fa90604159a55b,1995,07,Paris,1
655df55223fa90604159a55c,2022,10,Paris,4580
655df55223fa90604159a55d,1987,01,Paris,1580
655df55223fa90604159a55e,1987,08,Paris,1110
655df55223fa90604159a55f,2019,01,Paris,6405
655df55223fa90604159a560,1983,04,Paris,1362
655df55223fa90604159a561,1974,02,Paris,1333
655df55223fa90604159a562,1995,06,Paris,3
655df55223fa90604159a563,1978,11,Paris,1410
655df55223fa90604159a564,1982,07,Paris,1299
655df55223fa90604159a565,1982,03,Paris,1497
655df55223fa90604159a566,2002,12,Paris,2
655df55223fa90604159a567,1974,04,Paris,1420
655df55223fa90604159a568,1979,05,Paris,1412
655df55323fa90604159a569,1987,03,Paris,1194
655df55323fa90604159a56a,1970,12,Paris,406
655df55323fa90604159a56b,2019,07,Paris,4237
655df55323fa90604159a56c,2019,09,Paris,3824
655df55323fa90604159a56d,1985,02,Paris,1421
655df55323fa90604159a56e,1983,03,Paris,1532
655df55323fa90604159a56f,1979,11,Paris,1382
655df55323fa90604159a570,2019,08,Paris,3868
655df55323fa90604159a571,1972,10,Paris,1295
655df55323fa90604159a572,1976,06,Paris,1432
655df55323fa90604159a573,1972,02,Paris,1393
655df55323fa90604159a574,1987,04,Paris,1331
655df55323fa90604159a575,1979,02,Paris,1380
655df55323fa90604159a576,2022,02,Paris,4520
655df55323fa90604159a577,2022,12,Paris,5252
655df55323fa90604159a578,1975,08,Paris,1233
655df55323fa90604159a579,1963,01,Paris,3
655df55323fa90604159a57a,1976,11,Paris,1366
655df55323fa90604159a57b,1982,01,Paris,1569
655df55323fa90604159a57c,1987,12,Paris,1503
655df55323fa90604159a57d,1977,09,Paris,1159
655df55323fa90604159a57e,1972,12,Paris,1549
655df55323fa90604159a57f,1976,05,Paris,1425
655df55323fa90604159a580,1982,12,Paris,1599
655df55323fa90604159a581,1973,11,Paris,1424
655df55323fa90604159a582,1970,02,Paris,294
655df55323fa90604159a583,1986,02,Paris,1526
655df55323fa90604159a584,1983,02,Paris,1443
655df55323fa90604159a585,2021,02,Paris,4794
655df55323fa90604159a586,1975,03,Paris,1586
655df55323fa90604159a587,1983,12,Paris,1545
655df55323fa90604159a588,1983,10,Paris,1406
655df55323fa90604159a589,1973,05,Paris,1306
655df55323fa90604159a58a,2003,01,Paris,2
655df55323fa90604159a58b,2019,03,Paris,4493
655df55323fa90604159a58c,1974,10,Paris,1507
655df55323fa90604159a58d,1988,05,Paris,1300
655df55323fa90604159a58e,2021,10,Paris,4386
